Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
SOCIEDAD COMERCIAL DISTRIBUCION GLOBAL LIMITADA;76.100.732-7;7;272233607;297145
COMERCIAL AGUSTIN LIMITADA;76.287.853-4;66;499419218;540509
SOCIEDAD SOLUCIONES INTEGRALES SPA;76.540.457-6;49;196790058;213167
MEGA SAFE  SPA;76.710.414-6;51;184407330;198929
COMERCIAL RED OFFICE LIMITADA;77.012.870-6;54;239618124;258984
DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA;78.809.560-0;43;200013121;215026
COMERCIAL MUNOZ Y COMPANIA LIMITADA;78.906.980-8;74;343077959;370120
SOLUCIONES INTEGRALES DE LIMPIEZA LIMITADA;89.842.300-k;48;272713123;294686
PROVEEDORES INTEGRALES PRISA S A;96.556.940-5;321;1272583536;1374198
DIMERC S A;96.670.840-9;188;786244590;848654
