Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
Sociedad Comercial Infostore Ltda;76.131.929-9;111;1168199819;1230573
COMERCIALIZADORA TODOTABLET SPA;76.292.976-7;138;1298506169;1364592
SOCIEDAD COMERCIAL FORTEZA Y COMPANIA LIMITADA;76.367.430-4;100;1282213836;1347493
REPARACIONES BBCC LIMITADA;76.376.530-k;133;1937910501;2043639
ARTEC INVERSIONES LIMITADA;76.416.101-7;157;1502208859;1579714
TIC SERVICES SPA;76.423.634-3;116;1581786870;1664925
BOOKCOMPUTER COMERCIALIZADORA SPA;77.108.316-1;135;2308758161;2408437
LECHNER S.A;78.114.650-1;253;2477836138;2606283
TECHNOSYSTEMS CHILE SPA;96.678.350-8;295;4242699718;4452508
COMPUTACION E INGENIERIA S A;96.693.120-5;165;1723580982;1806038
