Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
EMERGYA INGENIERIA SL AGENCIA EN CHILE;59.166.580-4;1;1458435903;1524571
CONSULTORIA Y DESARROLLO DE SOFTWARE ARKHOTECH SPA;76.011.398-0;13;1588985481;1682165
SERVICIOS TECNOLOGICOS ADEMANDA.COM LIMITADA;76.093.443-7;4;3393531152;3556673
TIVIT CHILE TERCERIZACION DE PROCESOS, SERVICIOS Y TECNOLOGIA SPA;76.130.712-6;8;2376896987;2514742
TECNOVA SOLUCIONES INFORMATICAS SPA;77.430.680-3;6;1621384183;1705217
AQUANTA INGENIERIA COMPUTACIONAL SPA;77.842.230-1;6;1814542670;1915445
SOCIEDAD DE INGENIERIA EN INFORMATICA RAYEN SALUD SPA;77.917.240-6;9;3904211643;4087526
EMPRESA NACIONAL DE TELECOMUNICACIONES S A;92.580.000-7;6;1603158223;1699753
SERVICIOS INTEGRADOS EN INFORMACION GEOGRAFICA S A;96.777.670-k;22;2357522951;2493396
CLARO CHILE S.A.;96.799.250-k;9;1884275885;1952710
