Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
SOCIEDAD PROCESADORA DE PARTES Y PIEZAS LIMITADA;76.178.855-8;201;850847960;899829
COMERCIAL CM EXPRESS LIMITADA;76.579.703-9;186;713797749;754100
DESERT STORE SPA;76.962.756-1;89;888084205;939986
DISTRIBUIDORA E IMPORTADORA DE MATERIALES DE FERRETERIA Y CONSTRUCCION DEL SUR SPA;77.454.264-7;266;1420446527;1504825
SOCIEDAD DE INVERSIONES DASSEN SPA;77.537.871-9;174;859622766;902876
COMERCIALIZADORA VALDEBEBAS SPA;77.610.398-5;42;755859915;777638
MANUFACTURAS RAC LIMITADA;77.676.860-k;222;849874257;896125
COMERCIAL GRAN VIA SPA;77.831.858-K;111;1247870702;1320900
COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE;86.887.200-4;174;912836743;960486
SHERWIN WILLIAMS CHILE S A;96.803.460-k;164;1238640004;1309140
