Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
AUTOMOTRIZ PORTILLO SUR LTDA;76.296.863-0;35;1364096043;1444778
MARCELO FRONZA Y CIA LTDA;78.098.600-K;89;2517149059;2646443
AUTOMOTORES GILDEMEISTER SPA;79.649.140-k;52;1405968829;1479653
AUTOMOTRIZ SERVIMAQ SPA;79.649.970-2;52;1354438146;1436185
KOVACS CHEVROLET VIÑA DEL MAR ;80.522.900-4;65;2730017378;2887627
MARITANO Y EBENSPERGER LTDA;86.519.000-K;86;2788848491;2955524
SALINAS Y FABRES SOCIEDAD ANONIMA;91.502.000-3;39;1619885783;1706308
COMERCIAL KAUFMANN S A;96.572.360-9;26;2384173051;2547007
MEDITERRANEO AUTOMOTORES S A;96.889.440-4;50;1587797681;1665807
COMERCIAL AUTOMOTRIZ SPA;96.928.530-4;26;1570179731;1677750
