Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
XMS TECHNOLOGIES S.A.;76.083.145-k;24;339831951;353239
SOFTLINE INTERNATIONAL CHILE SPA;76.232.892-5;17;326559223;345973
TICHILE  REVENTA  DE SOFTWARE Y HARDWARE LIMITADA;76.334.381-2;12;217272500;229834
SEIDOR TECHNOLOGIES S.A.;76.449.580-2;9;366078771;387601
TECNOLOGIA BS SPA;76.852.815-2;134;3654429109;3867474
MYRE EDUCACION LIMITADA;77.553.790-6;13;2159706979;2262223
COMERCIALIZADORA TELENET LTDA;77.700.780-7;123;1839684329;1949507
MSLI Latam Inc.;88.044.324-9;25;3188185564;3372423
COMPUTACION INTEGRAL S A;96.689.970-0;47;531466425;558114
ORION 2000 SPA;96.899.890-0;13;244607876;255976
