Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
COMERCIALIZADORA DE MUEBLES HP LIMITADA;76.058.118-6;14;368958863;391231
FABRICACION Y ARMADO DE SILLAS HECTOR HERNANDEZ EIRL;76.235.755-0;18;401047078;422848
MEGA SAFE  SPA;76.710.414-6;30;505900925;533366
OFISILLAS CHILE SPA;76.855.435-8;20;400373345;418717
COMERCIAL E INDUSTRIAL MUEBLES ASENJO LIMITADA;77.018.060-0;23;934416477;974128
LEFI SPA;77.324.357-3;42;718565987;752227
SOCIEDAD COMERCIAL DLM SPA;77.346.435-9;7;735412776;781737
EASTON INMOBILIARIA E INDUSTRIAL LIMITADA;79.526.830-8;12;1065354484;1111543
IMPORTADORA Y DISTRIBUIDORA ARQUIMED LTDA;92.999.000-5;15;1317718318;1383529
MELMAN SPA;96.882.140-7;63;1593499750;1671932
