Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
EDGE SPA;76.067.326-9;7;125414591;136353
COMERCIAL HAGELIN LIMITADA;76.102.918-5;5;130926664;140059
MUNDO LOCKERS SPA;76.580.205-9;3;107768388;115261
MEGA SAFE  SPA;76.710.414-6;25;384169029;416134
COMERCIAL E INDUSTRIAL MUEBLES ASENJO LIMITADA;77.018.060-0;5;118358673;126694
LEFI SPA;77.324.357-3;14;272476431;292090
STATUS SPA;77.393.671-4;22;333302081;357856
COMERCIAL INNOVA PLACE SPA;77.599.784-2;11;267728400;291397
STRYKER CORPORATION CHILE Y COMPANIA LIMITADA;78.874.470-6;2;138263935;149337
MELMAN SPA;96.882.140-7;24;412329571;445473
