Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
NEMO CHILE S.A.;76.215.260-6;2077;7171252095;7536361
COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;769;4814572024;5060157
HOSPITALIA PRODUCTOS MEDICOS LTDA;78.233.420-4;1925;9351721823;9805690
BLUNDING S A;79.744.580-0;436;2292302055;2398603
MUNNICH PHARMA MEDICAL LIMITADA;80.447.400-5;2970;8857948286;9309275
REUTTER S A;81.210.400-4;2235;5657131845;5937277
DIPROMED S A;86.397.000-8;752;2383073088;2497227
DROGUERIA HOFMANN SAC;92.288.000-k;1413;5173013050;5458309
COMERCIAL LBF LIMITADA;93.366.000-1;1248;5794982790;6093451
TECNIKA S A;96.625.950-7;1505;4146428690;4370174
