Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
PROVEEDORES INTEGRALES DEL SUR S.A.;76.041.579-0;479;2068869475;2161537
MG PUBLICIDAD Y EVENTOS SPA;76.202.065-3;190;1606487183;1667321
COMERCIAL AGUSTIN LIMITADA;76.287.853-4;672;3460061778;3618449
SERVICIOS INTEGRADOS SIDAPT LIMITADA;76.299.358-9;144;1095507870;1143366
MULTI SAFE SPA;76.751.057-8;289;1393021310;1462401
COMERCIAL MUNOZ Y COMPANIA LIMITADA;78.906.980-8;325;2600878951;2714853
SOLUCIONES INTEGRALES DE LIMPIEZA LIMITADA;89.842.300-k;200;1564971988;1640656
PROVEEDORES INTEGRALES PRISA S A;96.556.940-5;1427;7448757521;7787717
DIMERC S A;96.670.840-9;1392;7646928476;7991543
DISTRIBUIDORA MANZANO S A;96.908.760-k;122;1366790572;1425329
