Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
PROVEEDORES INTEGRALES DEL SUR S.A.;76.041.579-0;388;1123580611;1180425
COMERCIAL EL TORO SPA;76.209.677-3;96;380985269;402499
SOCIEDAD SOLUCIONES INTEGRALES SPA;76.540.457-6;195;694519731;722842
COMERCIAL RED OFFICE LIMITADA;77.012.870-6;171;723547627;758188
COMERCIALIZADORA SAN JERONIMO SPA;77.610.393-4;101;308704836;322651
DISTRIBUIDORA PAPELES INDUSTRIALES S A;93.558.000-5;136;852238996;892531
PROVEEDORES INTEGRALES PRISA S A;96.556.940-5;688;2229873103;2339268
DIMERC S A;96.670.840-9;754;2390026347;2499580
DISTRIBUIDORA VERGIO S.A.;96.972.190-2;91;268996651;281290
AMINORTE S A;99.533.780-0;66;287710771;299031
