Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
COMERCIAL DARIO FABBRI LIMITADA;76.176.425-k;93;322463449;342975
SERVICIOS INTEGRADOS SIDAPT LIMITADA;76.299.358-9;46;198271442;211247
SOCIEDAD SOLUCIONES INTEGRALES SPA;76.540.457-6;278;888602138;938158
LIBRERÍA ATLANTIK LIMITADA;76.943.080-6;101;227951031;241681
COMERCIAL RED OFFICE LIMITADA;77.012.870-6;169;565862053;601585
DISTRIBUIDORA PAPELES INDUSTRIALES S A;93.558.000-5;111;479511227;504310
PROVEEDORES INTEGRALES PRISA S A;96.556.940-5;764;2156682232;2293324
DIMERC S A;96.670.840-9;629;1717090984;1818416
DISTRIBUIDORA VERGIO S.A.;96.972.190-2;88;211783089;225001
AMINORTE S A;99.533.780-0;72;386672368;409264
