Nombre proveedor;RUT proveedor;N° de órdenes de compra;Monto transado;Monto transado (USD)
ARTEC INVERSIONES LIMITADA;76.416.101-7;12;100043149;109197
COMERCIALIZADORA TODOCLICK SPA;76.977.985-K;11;151179254;165013
COMERCIALIZADORA SANTA CATALINA SPA;77.474.803-2;17;173861224;189771
ALEMED SOLUCIONES INTEGRALES SPA;77.727.285-3;8;132965737;143846
LECHNER S.A;78.114.650-1;35;360453257;393437
PRODATA S A;79.808.810-6;11;115876296;126480
RICOH CHILE S.A;96.513.980-k;7;142505069;155545
TECHNOSYSTEMS CHILE SPA;96.678.350-8;12;131195439;143200
COMPUTACION INTEGRAL S A;96.689.970-0;16;267331994;291795
COMPUTACION E INGENIERIA S A;96.693.120-5;19;308805639;337064
